date,description,amount,category
2026-05-10,MERCADOLIBRE,15835.79,Shopping
2026-05-11,Nafta YPF,8025.13,Transport
2026-05-12,CABIFY,3089.6,Transport
2026-05-12,FARMACIA ITALIANA,2457.1,Health
2026-05-13,PEDIDOSYA - Sushi Club,5100.63,Dining
2026-05-14,UBER *TRIP,4475.2,Transport
2026-05-16,UBER *TRIP,2462.13,Transport
2026-05-17,UBER *TRIP,3090.8,Transport
2026-05-17,NETFLIX.COM,2500.0,Entertainment
2026-05-17,SPOTIFY PREMIUM,1800.0,Entertainment
2026-05-17,FARMACIA ITALIANA,2168.49,Health
2026-05-17,MERCADOLIBRE,4019.24,Shopping
2026-05-18,Transferencia alquiler,180000.0,Housing
2026-05-19,COTO SUPERMERCADO,6841.17,Groceries
2026-05-19,CARREFOUR EXPRESS,2005.11,Groceries
2026-05-20,PEDIDOSYA - Sushi Club,7127.35,Dining
2026-05-20,UBER *TRIP,3393.08,Transport
2026-05-20,UBER *TRIP,3874.16,Transport
2026-05-21,UBER *TRIP,2115.85,Transport
2026-05-21,Nafta YPF,12991.16,Transport
2026-05-22,UBER *TRIP,2620.92,Transport
2026-05-22,CABIFY,3504.0,Transport
2026-05-22,MERCADOLIBRE,8467.23,Shopping
2026-05-23,COTO SUPERMERCADO,8453.39,Groceries
2026-05-23,Café con amigos,1730.69,Dining
2026-05-24,CARREFOUR EXPRESS,4804.7,Groceries
2026-05-24,PEDIDOSYA - Sushi Club,6263.31,Dining
2026-05-24,Nafta YPF,8522.29,Transport
2026-05-25,COTO SUPERMERCADO,2487.44,Groceries
2026-05-25,UBER *TRIP,1000.78,Transport
2026-05-25,UBER *TRIP,1954.68,Transport
2026-05-27,CABIFY,3214.71,Transport
2026-05-27,FARMACIA ITALIANA,1519.79,Health
2026-05-28,COTO SUPERMERCADO,10198.14,Groceries
2026-05-28,PEDIDOSYA - Sushi Club,5896.67,Dining
2026-05-28,PEDIDOSYA - Sushi Club,6259.53,Dining
2026-05-29,PEDIDOSYA - Sushi Club,4399.63,Dining
2026-05-29,CABIFY,3912.26,Transport
2026-05-29,MOVISTAR FACTURA,9000.0,Utilities
2026-05-30,CARREFOUR EXPRESS,1590.47,Groceries
2026-05-30,Nafta YPF,11485.22,Transport
2026-05-31,Café con amigos,2877.47,Dining
2026-06-01,COTO SUPERMERCADO,3179.27,Groceries
2026-06-01,UBER *TRIP,3649.25,Transport
2026-06-01,FARMACIA ITALIANA,5703.0,Health
2026-06-03,COTO SUPERMERCADO,12326.93,Groceries
2026-06-03,CARREFOUR EXPRESS,4484.23,Groceries
2026-06-03,CABIFY,3067.58,Transport
2026-06-04,FARMACIA ITALIANA,1377.36,Health
2026-06-05,EDESUR FACTURA,9153.7,Utilities
2026-06-05,Café con amigos,2698.53,Dining
2026-06-06,PEDIDOSYA - Sushi Club,5832.79,Dining
2026-06-06,CABIFY,3760.63,Transport
2026-06-06,NETFLIX.COM,2500.0,Entertainment
2026-06-06,SPOTIFY PREMIUM,1800.0,Entertainment
2026-06-07,PEDIDOSYA - Sushi Club,5653.8,Dining
2026-06-08,FARMACIA ITALIANA,4184.18,Health
2026-06-08,Café con amigos,3436.77,Dining
2026-06-08,Cine Hoyts,6744.96,Entertainment
2026-06-09,COTO SUPERMERCADO,8163.28,Groceries
2026-06-09,CABIFY,1022.72,Transport
2026-06-10,UBER *TRIP,1051.92,Transport
2026-06-11,CARREFOUR EXPRESS,8125.38,Groceries
2026-06-11,CARREFOUR EXPRESS,6797.98,Groceries
2026-06-11,UBER *TRIP,2600.06,Transport
2026-06-11,MERCADOLIBRE,13049.75,Shopping
2026-06-12,CARREFOUR EXPRESS,1530.7,Groceries
2026-06-13,COTO SUPERMERCADO,9916.47,Groceries
2026-06-13,CARREFOUR EXPRESS,2470.05,Groceries
2026-06-13,Nafta YPF,12444.74,Transport
2026-06-14,FARMACIA ITALIANA,3339.3,Health
2026-06-14,Nafta YPF,9772.49,Transport
2026-06-15,Transferencia alquiler,180000.0,Housing
2026-06-16,PEDIDOSYA - Sushi Club,7903.26,Dining
2026-06-18,MOVISTAR FACTURA,9000.0,Utilities
2026-06-19,PEDIDOSYA - Sushi Club,3886.48,Dining
2026-06-19,FARMACIA ITALIANA,4217.62,Health
2026-06-19,MERCADOLIBRE,7921.59,Shopping
2026-06-20,COTO SUPERMERCADO,8052.82,Groceries
2026-06-20,COTO SUPERMERCADO,6421.59,Groceries
2026-06-20,Cine Hoyts,5759.4,Entertainment
2026-06-21,CABIFY,1185.8,Transport
2026-06-22,COTO SUPERMERCADO,14322.25,Groceries
2026-06-23,UBER *TRIP,1833.71,Transport
2026-06-23,UBER *TRIP,3356.39,Transport
2026-06-23,SPOTIFY PREMIUM,1800.0,Entertainment
2026-06-23,MERCADOLIBRE,16972.19,Shopping
2026-06-24,Nafta YPF,8012.19,Transport
2026-06-26,FARMACIA ITALIANA,5972.67,Health
2026-06-26,Nafta YPF,13873.78,Transport
2026-06-27,COTO SUPERMERCADO,11482.79,Groceries
2026-06-27,COTO SUPERMERCADO,3975.8,Groceries
2026-06-28,CARREFOUR EXPRESS,1669.22,Groceries
2026-06-28,PEDIDOSYA - Sushi Club,6210.26,Dining
2026-06-28,UBER *TRIP,2510.02,Transport
2026-06-28,UBER *TRIP,3778.72,Transport
2026-06-28,FARMACIA ITALIANA,5057.66,Health
2026-06-28,EDESUR FACTURA,11909.41,Utilities
2026-06-29,COTO SUPERMERCADO,9726.81,Groceries
2026-06-29,UBER *TRIP,4338.0,Transport
2026-06-30,UBER *TRIP,4131.73,Transport
2026-07-01,CARREFOUR EXPRESS,6620.42,Groceries
2026-07-02,Nafta YPF,8928.24,Transport
2026-07-03,UBER *TRIP,1189.94,Transport
2026-07-03,CABIFY,960.4,Transport
2026-07-03,MERCADOLIBRE,21312.16,Shopping
2026-07-05,Cine Hoyts,8140.57,Entertainment
2026-07-06,Nafta YPF,10212.55,Transport
2026-07-07,CARREFOUR EXPRESS,8682.98,Groceries
2026-07-07,Transferencia alquiler,180000.0,Housing
2026-07-07,MERCADOLIBRE,5510.03,Shopping
2026-07-08,CARREFOUR EXPRESS,8152.8,Groceries
2026-07-09,Café con amigos,1682.63,Dining
2026-07-10,CARREFOUR EXPRESS,4485.52,Groceries
2026-07-10,CARREFOUR EXPRESS,2276.53,Groceries
2026-07-10,CABIFY,2270.57,Transport
2026-07-10,MOVISTAR FACTURA,9000.0,Utilities
2026-07-11,COTO SUPERMERCADO,10462.15,Groceries
2026-07-11,UBER *TRIP,2567.38,Transport
2026-07-12,PEDIDOSYA - Sushi Club,6829.43,Dining
2026-07-13,Nafta YPF,10113.66,Transport
2026-07-16,FARMACIA ITALIANA,5648.01,Health
2026-07-17,COTO SUPERMERCADO,4144.51,Groceries
2026-07-17,CARREFOUR EXPRESS,5509.43,Groceries
2026-07-17,UBER *TRIP,3903.1,Transport
2026-07-17,CABIFY,1506.81,Transport
2026-07-18,COTO SUPERMERCADO,2768.44,Groceries
2026-07-19,CABIFY,1126.67,Transport
2026-07-19,Nafta YPF,13289.59,Transport
2026-07-19,Cine Hoyts,8537.07,Entertainment
2026-07-20,CARREFOUR EXPRESS,7979.88,Groceries
2026-07-21,COTO SUPERMERCADO,7436.24,Groceries
2026-07-24,COTO SUPERMERCADO,5699.74,Groceries
2026-07-24,CARREFOUR EXPRESS,4512.33,Groceries
2026-07-24,MOVISTAR FACTURA,9000.0,Utilities
2026-07-24,Transferencia alquiler,180000.0,Housing
2026-07-25,Café con amigos,2484.61,Dining
2026-07-25,Café con amigos,3486.12,Dining
2026-07-26,COTO SUPERMERCADO,6700.57,Groceries
2026-07-26,Café con amigos,3034.7,Dining
2026-07-28,CARREFOUR EXPRESS,4165.98,Groceries
2026-07-29,PEDIDOSYA - Sushi Club,5661.78,Dining
2026-07-29,UBER *TRIP,3803.41,Transport
2026-07-29,Café con amigos,2272.58,Dining
2026-07-31,PEDIDOSYA - Sushi Club,4052.79,Dining
2026-07-31,UBER *TRIP,3128.76,Transport
2026-07-31,Café con amigos,1780.05,Dining
2026-08-01,UBER *TRIP,4173.12,Transport
2026-08-01,UBER *TRIP,2727.91,Transport
2026-08-02,UBER *TRIP,3146.64,Transport
2026-08-02,Café con amigos,1339.52,Dining
2026-08-03,PEDIDOSYA - Sushi Club,7968.96,Dining
2026-08-03,CABIFY,1404.67,Transport
2026-08-03,Nafta YPF,10758.56,Transport
2026-08-04,COTO SUPERMERCADO,7482.08,Groceries
2026-08-04,Café con amigos,1806.72,Dining
2026-08-04,Nafta YPF,12771.12,Transport
2026-08-05,UBER *TRIP,2180.03,Transport
2026-08-05,MOVISTAR FACTURA,9000.0,Utilities
2026-08-05,MERCADOLIBRE,6690.34,Shopping
2026-08-05,Café con amigos,3144.72,Dining
2026-08-06,CARREFOUR EXPRESS,2104.36,Groceries
2026-08-07,PEDIDOSYA - Sushi Club,4983.49,Dining
2026-08-07,UBER *TRIP,1370.75,Transport
2026-08-07,Café con amigos,3265.07,Dining
2026-08-08,ZARA,29211.99,Shopping
2026-08-09,UBER *TRIP,2819.83,Transport
2026-08-10,CARREFOUR EXPRESS,8626.68,Groceries
2026-08-10,CABIFY,2151.81,Transport
2026-08-10,CABIFY,3878.4,Transport
2026-08-10,FARMACIA ITALIANA,3478.85,Health
2026-08-10,ZARA,30683.3,Shopping
2026-08-11,UBER *TRIP,2414.26,Transport
2026-08-11,CABIFY,2834.17,Transport
2026-08-11,Café con amigos,1856.75,Dining
2026-08-13,COTO SUPERMERCADO,8436.51,Groceries
2026-08-13,Nafta YPF,9832.66,Transport
2026-08-14,PEDIDOSYA - Sushi Club,5127.89,Dining
2026-08-14,UBER *TRIP,2899.59,Transport
2026-08-14,FARMACIA ITALIANA,4845.59,Health
2026-08-15,COTO SUPERMERCADO,7558.7,Groceries
2026-08-15,Café con amigos,2765.53,Dining
2026-08-16,NETFLIX.COM,2500.0,Entertainment
2026-08-19,COTO SUPERMERCADO,11257.44,Groceries
2026-08-19,MERCADOLIBRE,9823.61,Shopping
2026-08-19,Café con amigos,1658.28,Dining
2026-08-20,CABIFY,2321.88,Transport
2026-08-20,FARMACIA ITALIANA,5894.65,Health
2026-08-21,COTO SUPERMERCADO,9449.34,Groceries
2026-08-22,UBER *TRIP,1000.32,Transport
2026-08-23,COTO SUPERMERCADO,3609.43,Groceries
2026-08-23,COTO SUPERMERCADO,2774.82,Groceries
2026-08-24,CARREFOUR EXPRESS,2634.49,Groceries
2026-08-24,Café con amigos,1506.91,Dining
2026-08-25,COTO SUPERMERCADO,6010.26,Groceries
2026-08-25,NETFLIX.COM,2500.0,Entertainment
2026-08-26,COTO SUPERMERCADO,9612.04,Groceries
2026-08-26,COTO SUPERMERCADO,14910.25,Groceries
2026-08-27,COTO SUPERMERCADO,9425.66,Groceries
2026-08-27,COTO SUPERMERCADO,12359.6,Groceries
2026-08-28,COTO SUPERMERCADO,14320.22,Groceries
2026-08-28,MERCADOLIBRE,21237.47,Shopping
2026-08-28,Curso Udemy,5393.9,Education
2026-08-29,CARREFOUR EXPRESS,2867.57,Groceries
2026-08-29,MERCADOLIBRE,4750.01,Shopping
2026-08-29,Nafta YPF,8534.8,Transport
2026-08-31,UBER *TRIP,4429.1,Transport
2026-08-31,MERCADOLIBRE,11011.3,Shopping
2026-09-01,Transferencia alquiler,180000.0,Housing
2026-09-01,Café con amigos,1539.08,Dining
2026-09-03,UBER *TRIP,2743.78,Transport
2026-09-04,CARREFOUR EXPRESS,2378.22,Groceries
2026-09-04,CARREFOUR EXPRESS,5747.56,Groceries
2026-09-04,UBER *TRIP,3925.57,Transport
2026-09-04,UBER *TRIP,4404.1,Transport
2026-09-05,CARREFOUR EXPRESS,1691.26,Groceries
2026-09-06,ZARA,31080.49,Shopping
2026-09-08,EDESUR FACTURA,10704.45,Utilities
2026-09-08,Café con amigos,1243.33,Dining
2026-09-09,MERCADOLIBRE,8190.57,Shopping
2026-09-09,Nafta YPF,11561.21,Transport
2026-09-09,Cine Hoyts,6600.17,Entertainment
2026-09-10,CARREFOUR EXPRESS,4503.32,Groceries
2026-09-10,UBER *TRIP,2097.06,Transport
2026-09-10,EDESUR FACTURA,7698.59,Utilities
2026-09-11,Curso Udemy,4082.12,Education
2026-09-12,CABIFY,2946.8,Transport
2026-09-12,Curso Udemy,3689.82,Education
2026-09-12,Café con amigos,1656.07,Dining
2026-09-14,UBER *TRIP,1269.98,Transport
2026-09-14,MOVISTAR FACTURA,9000.0,Utilities
2026-09-14,Café con amigos,3444.19,Dining
2026-09-15,CARREFOUR EXPRESS,6571.5,Groceries
2026-09-16,UBER *TRIP,4274.88,Transport
2026-09-17,UBER *TRIP,3000.06,Transport
2026-09-18,COTO SUPERMERCADO,2845.0,Groceries
2026-09-18,CABIFY,3480.58,Transport
2026-09-19,COTO SUPERMERCADO,3009.07,Groceries
2026-09-19,CABIFY,1838.62,Transport
2026-09-19,Transferencia alquiler,180000.0,Housing
2026-09-20,FARMACIA ITALIANA,2053.92,Health
2026-09-20,Café con amigos,2326.11,Dining
2026-09-21,NETFLIX.COM,2500.0,Entertainment
2026-09-22,COTO SUPERMERCADO,4349.44,Groceries
2026-09-22,CARREFOUR EXPRESS,7484.05,Groceries
2026-09-22,Curso Udemy,5868.23,Education
2026-09-23,Café con amigos,1860.83,Dining
2026-09-24,PEDIDOSYA - Sushi Club,5944.28,Dining
2026-09-25,PEDIDOSYA - Sushi Club,4226.47,Dining
2026-09-25,UBER *TRIP,1897.87,Transport
2026-09-25,Café con amigos,1900.16,Dining
2026-09-26,COTO SUPERMERCADO,12137.79,Groceries
2026-09-27,COTO SUPERMERCADO,6024.9,Groceries
2026-09-27,ZARA,35305.47,Shopping
